[Wed Oct 15 20:28:45.745 2008] 0.015 sec [scan/2/rel 0 (0,20)] [page_core] 
[Wed Oct 15 20:34:47.770 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 20:40:26.702 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 20:40:55.029 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 20:41:28.127 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 20:50:09.042 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 20:50:20.912 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 20:52:32.330 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 20:52:50.433 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 20:52:57.039 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 20:53:09.677 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 20:53:16.376 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 20:53:35.087 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 21:04:40.632 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 21:06:22.791 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 21:07:26.644 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 21:08:30.108 2008] 0.002 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 21:09:14.077 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 21:09:14.718 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 21:09:15.142 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 21:10:00.046 2008] 0.001 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 21:10:01.325 2008] 0.000 sec [all/2/rel 0 (0,20)] [*] deska
[Wed Oct 15 21:10:09.465 2008] 0.002 sec [all/2/rel 1 (0,20)] [*] deska
[Wed Oct 15 21:10:36.612 2008] 0.002 sec [all/2/rel 2 (0,20)] [*] deska
[Wed Oct 15 21:11:16.500 2008] 0.001 sec [all/2/rel 2 (0,20)] [*] deska
[Wed Oct 15 21:11:28.910 2008] 0.000 sec [all/2/rel 2 (0,20)] [*] deska
[Wed Oct 15 21:11:48.337 2008] 0.002 sec [all/2/rel 2 (0,20)] [*] deska
[Wed Oct 15 21:11:49.158 2008] 0.002 sec [all/2/rel 2 (0,20)] [*] deska
[Wed Oct 15 21:14:13.834 2008] 0.000 sec [all/2/rel 2 (0,20)] [*] deska
[Wed Oct 15 21:14:14.853 2008] 0.000 sec [all/2/rel 2 (0,20)] [*] deska
[Wed Oct 15 21:14:25.963 2008] 0.000 sec [all/2/rel 2 (0,20)] [*] deska
[Wed Oct 15 21:14:26.905 2008] 0.000 sec [all/2/rel 2 (0,20)] [*] deska
[Wed Oct 15 21:34:43.224 2008] 0.000 sec [all/2/rel 2 (0,20)] [*] deska
[Wed Oct 15 21:34:54.481 2008] 0.000 sec [all/2/rel 2 (0,20)] [*] deska
[Wed Oct 15 21:35:11.838 2008] 0.000 sec [all/2/rel 2 (0,20)] [*] deska
[Wed Oct 15 21:35:13.091 2008] 0.000 sec [all/2/rel 2 (0,20)] [*] deska
[Sat Jan  3 19:01:13.408 2009] 0.027 sec [scan/2/rel 0 (0,20)] [page_core] 
[Sun Jan  4 00:51:53.885 2009] 0.149 sec [scan/2/rel 0 (0,20)] [page_core] 
